product_id,supplier_id,product_name,category,price_usd
40999,8632,Panasonic ES2216PC Wet and Dry Women's Electric Shaver,Beauty & Personal Care,120.99
41039,6919,Lavazza Super Crema Espresso Whole Beans 1kg,Grocery & Gourmet,218.69
41226,5556,Tommy Hilfiger Classic Fit Chino Pants,Clothing & Apparel,288.09
41345,6045,Chuckit! Ultra Ball High-Bounce Dog Fetch Toy,Pet Supplies,812.29
41515,5102,Dove Deep Moisture Body Wash,Beauty & Personal Care,1273.69
41820,9663,One Piece: Season 1 - Complete Series Blu-ray Box Set,Books & Media,21.99
42020,4486,Logitech MX Master 3S Ergonomic Wireless Mouse,Electronics,49.99
42028,8269,Feline Pine Original Non-Clumping Cat Litter,Pet Supplies,198.69
44115,3686,Dyson Pure Cool Outdoor Air Purifier,Garden & Patio,1320.79
44331,1472,Coach Turnlock Chain Link Necklace 14K Gold Plated,Jewelry & Accessories,121.79
44513,9977,Eight Sleep Pod Pro Climate Mattress,Health & Wellness,53.19
45172,9123,Barilla Collezione Lasagne Sheets 500g,Grocery & Gourmet,205.99
46420,9351,Mattel UNO Card Game Classic Version,Toys & Games,41.59
46421,4476,Black+Decker 3/8-Inch Keyless Chuck Drill,Tools & Hardware,185.89
46499,8253,Neutrogena Hydro Boost Hydrating Tint,Beauty & Personal Care,299.49
46835,4302,Melissa & Doug Deluxe Wooden Block Set 200 Pieces,Toys & Games,112.29
46935,9884,Ridgid K-45 Sectional Drain Cleaning Machine,Tools & Hardware,118.99
47174,1287,Cartier Juste un Clou Yellow Gold Nail Bracelet Replica,Jewelry & Accessories,390.69
47437,9160,San Pellegrino Sparkling Mineral Water 24 Pack,Grocery & Gourmet,898.99
47632,8686,Columbia PFG Blood and Guts III Short Sleeve Shirt,Sports & Outdoors,168.29
48289,3041,ACCO Two-Hole Brass Paper Fasteners - Size 1 500/Box,Office Supplies,85.59
48335,3686,Dyson V15 Detect Cordless Vacuum Cleaner,Home & Kitchen,111.49
48349,5556,Garmin eTrex 32x GPS Handheld Navigator,Sports & Outdoors,51.69
48510,5484,Whoop Fitness Tracker Band,Health & Wellness,68.99
48606,1911,Gap Perfect Fit Jegging with Stretch,Clothing & Apparel,391.49
48869,7056,Pirelli P7 Ultra High Performance Radial Tire,Automotive,901.09
48996,2840,Stanley FatMax 13-Piece Screwdriver Set,Tools & Hardware,64.79
49147,6580,RCD LUG NUTS Conical Seat Anti-Theft Set Chrome,Automotive,352.19
50150,9351,Swarovski Crystalline Stainless Steel Analog Watch,Jewelry & Accessories,390.59
50462,6368,Black Diamond Spot 400 Headlamp,Sports & Outdoors,174.99
51061,4476,Mobil 1 Advanced Full Synthetic Motor Oil 5W-30,Automotive,192.39
51098,6580,The Seven Husbands of Evelyn Hugo by Taylor Jenkins Reid,Books & Media,30.89
51181,9977,Kong Classic Rubber Dog Toy Red,Pet Supplies,184.29
52111,1547,Fossil Gen 6 Smartwatch with Heart Rate Monitor,Jewelry & Accessories,173.99
52126,3581,Spin Master Paw Patrol Ultimate Rescue Vehicle,Toys & Games,326.99
52648,1471,Klein Tools 11-in-1 Multi-Bit Screwdriver,Tools & Hardware,195.89
52661,6232,Illy Instant Coffee Powder 95g,Grocery & Gourmet,797.29
53078,1571,Staples Premium Gel Pens - 10 Pack Assorted Colors,Office Supplies,293.39
53392,9133,Stainless Works Performance Exhaust System Mandrel Bent,Automotive,112.99
54586,4939,Shea Moisture Raw Shea Butter Restorative Shampoo,Beauty & Personal Care,98.49
55048,4975,Puma SportStyle ESS Joggers,Clothing & Apparel,186.19
56178,5389,Restoration Hardware Restoration Outdoor Sectional,Garden & Patio,1474.59
56751,8686,The North Face Thermoball Winter Parka,Sports & Outdoors,27.29
57051,2361,Dooney & Bourke Pebble Grain Leather Hobo Shoulder Bag,Jewelry & Accessories,58.39
57224,8253,Arc'teryx Alpha SV Waterproof Climbing Shell Jacket,Sports & Outdoors,54.99
57545,7345,Apple iPhone 15 Pro Max 256GB Black Titanium,Electronics,12.49
57579,7916,Nerf Elite 2.0 Commander RD-6 Blaster,Toys & Games,162.99
57801,9884,Arm & Hammer Clump Dust-Free Cat Litter,Pet Supplies,63.79
57860,8022,Hasbro Monopoly Board Game Classic Edition,Toys & Games,198.49
57874,2361,Cetaphil Gentle Skin Cleanser,Beauty & Personal Care,234.09
58241,3686,Husqvarna Automower 450X Robotic Lawn Mower,Garden & Patio,203.99
58650,5389,Whiskers Temptations Cat Treats Variety Pack,Pet Supplies,11.09
58763,9663,Rubik's Cube 3x3 Speed Cube Professional,Toys & Games,134.49
58781,4757,Anker PowerCore 65W USB-C Fast Charging Power Bank,Electronics,290.99
59301,6580,Washi Craft Tape Dispenser Set - 6 Decorative Rolls Included,Office Supplies,43.99
60647,4486,Zwilling J.A. Henckels 14-Piece Knife Block Set,Home & Kitchen,264.09
61093,1375,Squishmallows 16-Inch Axolotl Plush Toy,Toys & Games,240.99
61311,3589,Yeti Rambler 36oz Insulated Tumbler,Sports & Outdoors,160.19
61677,1848,Patagonia Nano-Air Hybrid Vest,Clothing & Apparel,192.69
61911,5389,Nike Dri-FIT Essentials T-Shirt,Clothing & Apparel,279.89
62011,4302,Realspace Mesh Desk Organizer - 5 Compartments Black,Office Supplies,72.79
63493,7766,Jarrow Formulas Ubiquinol CoQ10 Supplement,Health & Wellness,215.09
63748,5389,Asus ROG Ally X 512GB Handheld Gaming PC,Electronics,91.19
63985,1400,Kaytee Aspen Bedding Small Pet Substrate,Pet Supplies,78.79
64279,8813,Bilstein B6 Performance Monotube Shock Absorber Pair,Automotive,126.39
64388,3141,The North Face Thermoball Winter Jacket,Clothing & Apparel,290.09
64833,3607,Bosch AQT 45-14X Pressure Washer,Garden & Patio,418.99
64873,1547,Interstate Mega Tron Plus Car Battery 850 CCA,Automotive,77.99
66185,4476,Tommy Hilfiger Interchangeable 3-Piece Strap Watch Set,Jewelry & Accessories,659.99
66452,4202,Nintendo Switch Ring Fit Adventure Bundle,Toys & Games,169.99
66578,1571,Olaplex Hair Repair Treatment No. 3,Health & Wellness,268.19
66820,5484,Michael Kors Mk7335 Parker Chronograph Watch,Jewelry & Accessories,221.99
68080,2361,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Home & Kitchen,141.29
68479,4939,JBJ AquaCube LED Desktop Aquarium 5 Gallon,Pet Supplies,46.29
68723,7766,Dyson Supersonic Hair Dryer,Health & Wellness,96.89
69037,9351,Citizen Eco-Drive Titanium Dive Watch AT8218-01L,Jewelry & Accessories,35.99
69218,1375,Kettler Palma Rattan Lounge Set with Cushions,Garden & Patio,184.09
69729,9133,Atomic Habits: An Easy & Proven Way to Build Good Habits by James Clear,Books & Media,209.19
69991,8632,Oppenheimer: Director's Cut - Criterion Collection Blu-ray,Books & Media,1268.79
70780,1287,Hyperice Hypersphere GO Vibrating Massager,Health & Wellness,122.19
70801,1911,Teak Warehouse Dining Table with Umbrella Hole,Garden & Patio,215.99
71227,8022,Turtle Wax Hybrid Solutions Ceramic Coat Spray,Automotive,166.29
71487,9977,Solo Stove Ranger Smokeless Fire Pit,Garden & Patio,1086.99
71645,8846,Becoming Michelle Obama - Audiobook MP3-CD,Books & Media,403.99
72692,7096,REI Co-op Flash 45L Backpack,Sports & Outdoors,46.69
72911,3589,Nylabone Power Chew Durable Dog Chew Toy,Pet Supplies,382.29
73115,6045,Yardbird Smart Robotic Lawn Mower,Garden & Patio,172.99
73489,7389,Petmate Indigo Dog Crate Extra Large,Pet Supplies,251.09
74326,1472,Crest 3D White Radiant Mint Toothpaste,Beauty & Personal Care,212.99
75438,3141,Uniqlo Heattech Long Sleeve Base Layer,Clothing & Apparel,59.19
75721,7547,Seiko Prospex Solar Diver's Watch with Sapphire Crystal,Jewelry & Accessories,174.59
75767,5443,Weber Genesis II LX Gas Grill,Garden & Patio,243.99
76061,1571,Purina Pro Plan Advanced Nutrition Dog Food,Pet Supplies,229.99
76830,6580,L.L.Bean Signature Lightweight Merino Wool Cardigan,Clothing & Apparel,210.09
77617,6580,Ralph Lauren Polo Pony Embroidered Golf Shirt,Clothing & Apparel,226.99
77670,6919,"Microsoft Surface Laptop Studio 2 14"" i9 RTX 4080",Electronics,244.59
78649,9756,Einhell GE-CH 1855/1 Electric Chainsaw,Garden & Patio,1059.49
78853,4668,Rubbermaid Brilliance Food Storage Container Set 22-Piece,Home & Kitchen,26.29
79163,7096,GoPro HERO11 Black Action Camera,Sports & Outdoors,738.99
79564,7056,NGK Premium Quality Ignition Coil Pack Module,Automotive,34.99
79647,1547,Tamari Organic Soy Sauce 296ml,Grocery & Gourmet,91.09
79834,2361,Tampax Pearl Plastic Tampons Super Plus,Beauty & Personal Care,151.19
80349,1429,Bob's Red Mill Stone Ground Whole Wheat Flour 5lbs,Grocery & Gourmet,203.59
80351,5443,Brahmin Melbourne Embossed Leather Clutch Wallet,Jewelry & Accessories,194.99
80625,6993,Tassoni Hybrid Whiteboard Markers - Low-Odor 12-Marker Set,Office Supplies,690.09
80978,9884,Calico Critters Deluxe Sylvanian Families House,Toys & Games,280.69
81641,7096,Dahle 20314 Rotary Paper Cutter - 14-inch Cutting Width,Office Supplies,228.09
81834,7878,Nutricost Omega-3 Fish Oil Softgels,Health & Wellness,186.89
82067,5389,Hydro Flask 40oz Wide Mouth Bottle,Sports & Outdoors,40.79
82305,1287,Le Creuset Enameled Cast Iron Dutch Oven 5.5 Qt,Home & Kitchen,271.99
82410,9059,Canon imageFORMULA DR-C380 Document Scanner,Office Supplies,171.99
82638,9756,Irwin Vise-Grip Locking Plier Set,Tools & Hardware,22.99
82664,6993,Hitachi 1-1/8-Inch SDS-Plus Rotary Hammer Drill,Tools & Hardware,269.69
83295,2361,Friskies Paw Bites Cat Snack Treats,Pet Supplies,123.99
84482,4750,Westward 10-Ton Hydraulic Floor Jack,Tools & Hardware,223.49
84547,1375,Moon Juice Super Powder Adaptogenic Blend,Health & Wellness,205.49
85076,1375,FurHaven Orthopedic Memory Foam Pet Bed,Pet Supplies,893.99
85459,9351,Coral Coast 10x12 Hard Top Gazebo,Garden & Patio,239.79
85572,1848,Fellowes Laminating Pouches - Legal Size 5 mil Thickness,Office Supplies,30.99
85973,4302,Leash Boss No-Pull Front Clip Dog Harness,Pet Supplies,177.59
86139,1848,Ghirardelli Dark Chocolate Sea Salt Caramel Squares 163g,Grocery & Gourmet,289.19
86286,3607,Anne Klein Diamond Accent Two-Tone Bangle Bracelet,Jewelry & Accessories,261.59
86725,2840,Nintendo Switch OLED White Console Bundle,Electronics,260.79
86809,1571,Tarte Shape Tape Concealer SPF 35,Health & Wellness,71.29
86854,1400,Avery Heavy-Duty Lever Arch Folders - Foolscap 50mm,Office Supplies,207.99
87148,4757,Olay Regenerist Micro-Sculpting Cream,Beauty & Personal Care,4.99
87426,1287,"Samsung Galaxy Tab S9 Ultra 12.4"" AMOLED Tablet",Electronics,180.29
87574,1911,Lokar Billet Aluminum Door Handle Set Chrome,Automotive,130.19
87789,7547,Snap-on 3/8-Inch Drive Torque Wrench,Tools & Hardware,294.99
87809,1323,Clarisonic Mia 2 Sonic Facial Cleansing Brush,Health & Wellness,436.79
89133,9351,Nike Air Zoom Pegasus 39 Running Shoes Men's,Sports & Outdoors,292.19
89968,7389,PaperMate InkJoy Ballpoint Pens - 1.0mm Retractable 8 Count,Office Supplies,206.49
90808,7766,Dyson V15 Detect Cordless Vacuum Cleaner,Electronics,77.19
91580,7916,Hanover Traditions 7-Piece Aluminium Patio Set,Garden & Patio,262.59
92046,3041,Little Tikes Cozy Coupe Push Ride-On Car,Toys & Games,166.49
92839,9057,Vintage Air AC and Heater Climate Control Unit,Automotive,84.09
92898,5443,Bonne Maman Wild Strawberry Jam 370g,Grocery & Gourmet,1162.99
94077,4202,The Art of War: Special Illustrated Edition by Sun Tzu,Books & Media,185.09
94390,3898,Leitz NEXX Ergonomic Office Chair - High Back with Lumbar Support,Office Supplies,43.79
94514,7878,Gardena Oscillating Sprinkler with Tripod,Garden & Patio,254.99
94612,9059,Lululemon Yoga Mat 5mm Reversible,Health & Wellness,266.79
94652,6163,TP-Link Archer AXE300 WiFi 6E Tri-Band Router,Electronics,32.39
95339,9057,Armor All Extreme Shine Protectant Dashboard Polish,Automotive,58.89
95523,4202,"LG 27"" 4K UltraFine IPS Monitor with USB-C",Electronics,82.19
95646,1911,Vital Proteins Collagen Peptides Powder,Health & Wellness,323.09
96141,4486,Rust Programming Language: Official Book 2nd Edition,Books & Media,909.49
97210,2769,Educated by Tara Westover - Kindle eBook,Books & Media,241.29
97298,9133,Barbie Dreamhouse Playset with Elevator,Toys & Games,29.99
98451,4668,Magna-Tiles Magnetic Building Blocks - 100 Piece Set,Toys & Games,1292.09
99613,1186,All-Clad Essentials Stainless Steel 10-Inch Fry Pan,Home & Kitchen,287.89
99654,1471,Makita 18V LXT Lithium-Ion Reciprocating Saw,Tools & Hardware,265.39
